Item,RefDes,Category,Value/Model,Package/Spec,Qty,Notes
1,U1,Module,18650 UPS/Charge/Boost Module 5V,User supplied,1,Taobao module mounted on baseboard
2,SW1,Switch,SPST slide switch,Panel or PCB type,1,Main board power switch after module 5V output
3,U2,Regulator,ME6211C33M5G-N,SOT-23-5,1,3.3V LDO for Blue Pill and HC-04
4,J1,Connector,Female header,1x20 2.54mm,1,Blue Pill left socket
5,J2,Connector,Female header,1x20 2.54mm,1,Blue Pill right socket
6,J3,Connector,Pin header,1x4 2.54mm,1,HC-04 header
7,J4,Connector,Pin header,1x3 2.54mm,1,SG90 header
8,J5,Connector,Pin header,1x4 2.54mm,1,Debug UART header
9,R1,Resistor,220R,0603 or 0805,1,Servo PWM series resistor
10,C1,Capacitor,470uF 10V,Radial or SMD electrolytic,1,Servo rail bulk capacitor
11,C2,Capacitor,0.1uF 50V,0603 or 0805,1,Servo rail high-frequency bypass
12,C3,Capacitor,10uF 10V,0805 or 1206,1,LDO input capacitor
13,C4,Capacitor,10uF 6.3V,0805 or 1206,1,LDO output bulk capacitor
14,C5,Capacitor,0.1uF 16V,0603 or 0805,1,LDO output bypass capacitor
15,C6,Capacitor,10uF 6.3V,0805 or 1206,1,HC-04 local bulk capacitor
16,C7,Capacitor,0.1uF 16V,0603 or 0805,1,HC-04 local bypass capacitor
17,MH1,Mechanical,Mounting hole,M3 NPTH,1,Optional
18,MH2,Mechanical,Mounting hole,M3 NPTH,1,Optional
19,MH3,Mechanical,Mounting hole,M3 NPTH,1,Optional
20,MH4,Mechanical,Mounting hole,M3 NPTH,1,Optional
